x0,x1
0.281776,0.083337
0.281776,0.083337
0.412402,0.162642
0.945402,0.902502
0.945402,0.902502
0.945402,0.902502
0.945402,0.902502
0.945402,0.902502
0.945402,0.902502
0.945402,0.902502
0.945402,0.902502
0.945402,0.902502
0.945402,0.902502
0.945402,0.902502
0.952671,0.912712
0.951917,0.911165
0.951917,0.911165
0.952704,0.909834
0.952704,0.909834
0.957878,0.915324
0.957878,0.916344
0.957878,0.916344
0.957878,0.916344
0.957878,0.917585
0.957878,0.917585
0.957878,0.917585
0.964151,0.930837
0.964151,0.930837
0.964827,0.931992
0.964827,0.931992
0.972924,0.945171
